Date,S. No.,Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
04-21-2020,7,Chhattisgarh,36,25,0
04-21-2020,8,Delhi,2081,431,47
04-21-2020,9,Goa,7,7,0
04-21-2020,10,Gujarat,2066,131,77
04-21-2020,11,Haryana,254,127,3
04-21-2020,12,Himachal Pradesh,39,16,1
04-21-2020,13,Jammu and Kashmir,368,71,5
04-21-2020,14,Jharkhand,46,0,2
04-21-2020,15,Karnataka,415,114,17
04-21-2020,16,Kerala,408,291,3
04-21-2020,17,Ladakh,18,14,0
04-21-2020,18,Madhya Pradesh,1540,127,76
04-21-2020,19,Maharashtra,4669,572,232
04-21-2020,20,Manipur,2,2,0
04-21-2020,21,Meghalaya,11,0,1
04-21-2020,22,Mizoram,1,0,0
04-21-2020,23,Nagaland,0,0,0
04-21-2020,24,Odisha,74,24,1
04-21-2020,25,Puducherry,7,3,0
04-21-2020,26,Punjab,245,39,16
04-21-2020,27,Rajasthan,1576,205,25
04-21-2020,28,Tamil Nadu,1520,457,17
04-21-2020,29,Telengana,919,190,23
04-21-2020,30,Tripura,2,1,0
04-21-2020,31,Uttarakhand,46,18,0
04-21-2020,32,Uttar Pradesh,1294,140,20
04-21-2020,33,West Bengal,392,73,12
04-22-2020,1,Andaman and Nicobar Islands,17,11,0
04-22-2020,2,Andhra Pradesh,813,120,24
04-22-2020,3,Arunachal Pradesh,1,1,0
04-22-2020,4,Assam,35,19,1
04-22-2020,5,Bihar,126,46,2
04-22-2020,6,Chandigarh,27,14,0
04-22-2020,7,Chhattisgarh,36,26,0
04-22-2020,8,Delhi,2156,611,47
04-22-2020,9,Goa,7,7,0
04-22-2020,10,Gujarat,2272,144,95
04-22-2020,11,Haryana,254,127,3
04-22-2020,12,Himachal Pradesh,39,16,1
04-22-2020,13,Jammu and Kashmir,380,81,5
04-22-2020,14,Jharkhand#,45,0,3
04-22-2020,15,Karnataka,425,129,17
04-22-2020,16,Kerala,427,323,3
04-22-2020,17,Ladakh,18,14,0
04-22-2020,18,Madhya Pradesh,1592,148,80
04-22-2020,19,Maharashtra,5221,722,251
04-22-2020,20,Manipur,2,2,0
04-22-2020,21,Meghalaya,12,0,1
04-22-2020,22,Mizoram,1,0,0
04-22-2020,23,Odisha,82,30,1
04-22-2020,24,Puducherry,7,3,0
04-22-2020,25,Punjab,251,49,16
04-22-2020,26,Rajasthan,1801,230,25
04-22-2020,27,Tamil Nadu,1596,635,18
04-22-2020,28,Telengana,945,194,23
04-22-2020,29,Tripura,2,1,0
04-22-2020,30,Uttarakhand,46,19,0
04-22-2020,31,Uttar Pradesh,1412,165,21
04-22-2020,32,West Bengal,423,73,15
04-23-2020,1,Andaman and Nicobar Islands,18,11,0
04-23-2020,2,Andhra Pradesh,895,141,27
04-23-2020,3,Arunachal Pradesh,1,1,0
04-23-2020,4,Assam,35,19,1
04-23-2020,5,Bihar,148,46,2
04-23-2020,6,Chandigarh,27,14,0
04-23-2020,7,Chhattisgarh,36,28,0
04-23-2020,8,Delhi,2248,724,48
04-23-2020,9,Goa,7,7,0
04-23-2020,10,Gujarat,2407,179,103
04-23-2020,11,Haryana,262,140,3
04-23-2020,12,Himachal Pradesh,40,18,1
04-23-2020,13,Jammu and Kashmir,407,92,5
04-23-2020,14,Jharkhand,49,8,3
04-23-2020,15,Karnataka,443,141,17
04-23-2020,16,Kerala,438,324,3
04-23-2020,17,Ladakh,18,14,0
04-23-2020,18,Madhya Pradesh,1695,148,81
04-23-2020,19,Maharashtra,5652,789,269
04-23-2020,20,Manipur,2,2,0
04-23-2020,21,Meghalaya,12,0,1
04-23-2020,22,Mizoram,1,0,0
04-23-2020,23,Odisha,83,32,1
04-23-2020,24,Puducherry,7,3,0
04-23-2020,25,Punjab,277,65,16
04-23-2020,26,Rajasthan,1890,230,27
04-23-2020,27,Tamil Nadu,1629,662,18
04-23-2020,28,Telengana,960,197,24
04-23-2020,29,Tripura,2,1,0
04-23-2020,30,Uttarakhand,46,23,0
04-23-2020,31,Uttar Pradesh,1509,187,21
04-23-2020,32,West Bengal,456,79,15
04-23-2020,1,Andaman and Nicobar Islands,18,11,0
04-23-2020,2,Andhra Pradesh,895,141,27
04-23-2020,3,Arunachal Pradesh,1,1,0
04-23-2020,4,Assam,35,19,1
04-23-2020,5,Bihar,148,46,2
04-23-2020,6,Chandigarh,27,14,0
04-23-2020,7,Chhattisgarh,36,28,0
04-23-2020,8,Delhi,2248,724,48
04-23-2020,9,Goa,7,7,0
04-23-2020,10,Gujarat,2407,179,103
04-23-2020,11,Haryana,262,140,3
04-23-2020,12,Himachal Pradesh,40,18,1
04-23-2020,13,Jammu and Kashmir,407,92,5
04-23-2020,14,Jharkhand,49,8,3
04-23-2020,15,Karnataka,443,141,17
04-23-2020,16,Kerala,438,324,3
04-23-2020,17,Ladakh,18,14,0
04-23-2020,18,Madhya Pradesh,1695,148,81
04-23-2020,19,Maharashtra,5652,789,269
04-23-2020,20,Manipur,2,2,0
04-23-2020,21,Meghalaya,12,0,1
04-23-2020,22,Mizoram,1,0,0
04-23-2020,23,Odisha,83,32,1
04-23-2020,24,Puducherry,7,3,0
04-23-2020,25,Punjab,277,65,16
04-23-2020,26,Rajasthan,1890,230,27
04-23-2020,27,Tamil Nadu,1629,662,18
04-23-2020,28,Telengana,960,197,24
04-23-2020,29,Tripura,2,1,0
04-23-2020,30,Uttarakhand,46,23,0
04-23-2020,31,Uttar Pradesh,1509,187,21
04-23-2020,32,West Bengal,456,79,15
04-24-2020,1,Andaman and Nicobar Islands,22,11,0
04-24-2020,2,Andhra Pradesh,955,145,29
04-24-2020,3,Arunachal Pradesh,1,1,0
04-24-2020,4,Assam,36,19,1
04-24-2020,5,Bihar,176,46,2
04-24-2020,6,Chandigarh,27,14,0
04-24-2020,7,Chhattisgarh,36,28,0
04-24-2020,8,Delhi,2376,808,50
04-24-2020,9,Goa,7,7,0
04-24-2020,10,Gujarat,2624,258,112
04-24-2020,11,Haryana,272,156,3
04-24-2020,12,Himachal Pradesh,40,18,1
04-24-2020,13,Jammu and Kashmir,427,92,5
04-24-2020,14,Jharkhand,55,8,3
04-24-2020,15,Karnataka,463,150,18
04-24-2020,16,Kerala,448,324,3
04-24-2020,17,Ladakh,18,14,0
04-24-2020,18,Madhya Pradesh,1852,203,83
04-24-2020,19,Maharashtra,6430,840,283
04-24-2020,20,Manipur,2,2,0
04-24-2020,21,Meghalaya,12,0,1
04-24-2020,22,Mizoram,1,0,0
04-24-2020,23,Odisha,90,33,1
04-24-2020,24,Puducherry,7,3,0
04-24-2020,25,Punjab,277,65,16
04-24-2020,26,Rajasthan,1964,230,27
04-24-2020,27,Tamil Nadu,1683,752,20
04-24-2020,28,Telengana,984,253,26
04-24-2020,29,Tripura,2,1,0
04-24-2020,30,Uttarakhand,47,24,0
04-24-2020,31,Uttar Pradesh,1604,206,24
04-24-2020,32,West Bengal,514,103,15
04-25-2020,1,Andaman and Nicobar Islands,27,11,0
04-25-2020,2,Andhra Pradesh,1061,171,31
04-25-2020,3,Arunachal Pradesh,1,1,0
04-25-2020,4,Assam,36,19,1
04-25-2020,5,Bihar,228,46,2
04-25-2020,6,Chandigarh,28,15,0
04-25-2020,7,Chhattisgarh,36,30,0
04-25-2020,8,Delhi,2514,857,53
04-25-2020,9,Goa,7,7,0
04-25-2020,10,Gujarat,2815,265,127
04-25-2020,11,Haryana,272,156,3
04-25-2020,12,Himachal Pradesh,40,18,1
04-25-2020,13,Jammu and Kashmir,454,109,5
04-25-2020,14,Jharkhand,59,9,3
04-25-2020,15,Karnataka,489,153,18
04-25-2020,16,Kerala,451,331,4
04-25-2020,17,Ladakh,20,14,0
04-25-2020,18,Madhya Pradesh,1952,210,92
04-25-2020,19,Maharashtra,6817,957,301
04-25-2020,20,Manipur,2,2,0
04-25-2020,21,Meghalaya,12,0,1
04-25-2020,22,Mizoram,1,0,0
04-25-2020,23,Odisha,94,33,1
04-25-2020,24,Puducherry,7,3,0
04-25-2020,25,Punjab,298,67,17
04-25-2020,26,Rajasthan,2034,230,27
04-25-2020,27,Tamil Nadu,1755,866,22
04-25-2020,28,Telengana,984,253,26
04-25-2020,29,Tripura,2,1,0
04-25-2020,30,Uttarakhand,48,25,0
04-25-2020,31,Uttar Pradesh,1778,248,26
04-25-2020,32,West Bengal,571,103,18
04-26-2020,1,Andaman and Nicobar Islands,33,11,0
04-26-2020,2,Andhra Pradesh,1097,231,31
04-26-2020,3,Arunachal Pradesh,1,1,0
04-26-2020,4,Assam,36,19,1
04-26-2020,5,Bihar,251,46,2
04-26-2020,6,Chandigarh,30,17,0
04-26-2020,7,Chhattisgarh,37,32,0
04-26-2020,8,Delhi,2625,869,54
04-26-2020,9,Goa,7,7,0
04-26-2020,10,Gujarat,3071,282,133
04-26-2020,11,Haryana,289,176,3
04-26-2020,12,Himachal Pradesh,40,22,1
04-26-2020,13,Jammu and Kashmir,494,112,6
04-26-2020,14,Jharkhand,67,13,3
04-26-2020,15,Karnataka,501,177,18
04-26-2020,16,Kerala,458,338,4
04-26-2020,17,Ladakh,20,14,0
04-26-2020,18,Madhya Pradesh,2096,210,99
04-26-2020,19,Maharashtra,7628,1076,323
04-26-2020,20,Manipur,2,2,0
04-26-2020,21,Meghalaya,12,0,1
04-26-2020,22,Mizoram,1,0,0
04-26-2020,23,Odisha,103,34,1
04-26-2020,24,Puducherry,7,3,0
04-26-2020,25,Punjab,298,67,17
04-26-2020,26,Rajasthan,2083,493,33
04-26-2020,27,Tamil Nadu,1821,960,23
04-26-2020,28,Telengana,991,280,26
04-26-2020,29,Tripura,2,2,0
04-26-2020,30,Uttarakhand,50,26,0
04-26-2020,31,Uttar Pradesh,1843,289,29
04-26-2020,32,West Bengal,611,105,18
04-27-2020,1,Andaman and Nicobar Islands,33,11,0
04-27-2020,2,Andhra Pradesh,1177,235,31
04-27-2020,3,Arunachal Pradesh,1,1,0
04-27-2020,4,Assam,36,27,1
04-27-2020,5,Bihar,277,56,2
04-27-2020,6,Chandigarh,30,17,0
04-27-2020,7,Chhattisgarh,37,32,0
04-27-2020,8,Delhi,2918,877,54
04-27-2020,9,Goa,7,7,0
04-27-2020,10,Gujarat,3301,313,151
04-27-2020,11,Haryana,289,176,3
04-27-2020,12,Himachal Pradesh,40,22,1
04-27-2020,13,Jammu and Kashmir,523,137,6
04-27-2020,14,Jharkhand,82,13,3
04-27-2020,15,Karnataka,511,188,20
04-27-2020,16,Kerala,469,342,4
04-27-2020,17,Ladakh,20,14,0
04-27-2020,18,Madhya Pradesh,2168,302,106
04-27-2020,19,Maharashtra,8068,1188,342
04-27-2020,20,Manipur,2,2,0
04-27-2020,21,Meghalaya,12,0,1
04-27-2020,22,Mizoram,1,0,0
04-27-2020,23,Odisha,108,35,1
04-27-2020,24,Puducherry,8,3,0
04-27-2020,25,Punjab,313,71,18
04-27-2020,26,Rajasthan,2185,518,41
04-27-2020,27,Tamil Nadu,1885,1020,24
04-27-2020,28,Telengana,1002,280,26
04-27-2020,29,Tripura,2,2,0
04-27-2020,30,Uttarakhand,51,33,0
04-27-2020,31,Uttar Pradesh,1955,335,31
04-27-2020,32,West Bengal,649,105,20
04-28-2020,1,Andaman and Nicobar Islands,33,11,0
04-28-2020,2,Andhra Pradesh,1259,258,31
04-28-2020,3,Arunachal Pradesh,1,1,0
04-28-2020,4,Assam,38,27,1
04-28-2020,5,Bihar,346,57,2
04-28-2020,6,Chandigarh,40,17,0
04-28-2020,7,Chhattisgarh,37,32,0
04-28-2020,8,Delhi,3108,877,54
04-28-2020,9,Goa,7,7,0
04-28-2020,10,Gujarat,3548,394,162
04-28-2020,11,Haryana,296,183,3
04-28-2020,12,Himachal Pradesh,40,22,1
04-28-2020,13,Jammu and Kashmir,546,164,7
04-28-2020,14,Jharkhand,103,17,3
04-28-2020,15,Karnataka,520,198,20
04-28-2020,16,Kerala,482,355,4
04-28-2020,17,Ladakh,22,16,0
04-28-2020,18,Madhya Pradesh,2368,361,113
04-28-2020,19,Maharashtra,8590,1282,369
04-28-2020,20,Manipur,2,2,0
04-28-2020,21,Meghalaya,12,0,1
04-28-2020,22,Mizoram,1,0,0
04-28-2020,23,Odisha,118,37,1
04-28-2020,24,Puducherry,8,3,0
04-28-2020,25,Punjab,313,71,18
04-28-2020,26,Rajasthan,2262,669,46
04-28-2020,27,Tamil Nadu,1937,1101,24
04-28-2020,28,Telengana,1004,321,26
04-28-2020,29,Tripura,2,2,0
04-28-2020,30,Uttarakhand,51,33,0
04-28-2020,31,Uttar Pradesh,2043,400,31
04-28-2020,32,West Bengal,697,109,20
04-29-2020,1,Andaman and Nicobar Islands,33,15,0
04-29-2020,2,Andhra Pradesh,1332,287,31
04-29-2020,3,Arunachal Pradesh,1,1,0
04-29-2020,4,Assam,38,27,1
04-29-2020,5,Bihar,383,64,2
04-29-2020,6,Chandigarh,56,17,0
04-29-2020,7,Chhattisgarh,38,34,0
04-29-2020,8,Delhi,3314,1078,54
04-29-2020,9,Goa,7,7,0
04-29-2020,10,Gujarat,3774,434,181
04-29-2020,11,Haryana,310,209,3
04-29-2020,12,Himachal Pradesh,40,25,1
04-29-2020,13,Jammu and Kashmir,565,176,8
04-29-2020,14,Jharkhand,105,19,3
04-29-2020,15,Karnataka,532,215,20
04-29-2020,16,Kerala,486,359,4
04-29-2020,17,Ladakh,22,16,0
04-29-2020,18,Madhya Pradesh#,2561,377,119#
04-29-2020,19,Maharashtra,9318,1388,400
04-29-2020,20,Manipur,2,2,0
04-29-2020,21,Meghalaya,12,0,1
04-29-2020,22,Mizoram,1,0,0
04-29-2020,23,Odisha,119,38,1
04-29-2020,24,Puducherry,8,3,0
04-29-2020,25,Punjab,322,71,19
04-29-2020,26,Rajasthan,2364,768,51
04-29-2020,27,Tamil Nadu,2058,1168,25
04-29-2020,28,Telengana,1012,367,26
04-29-2020,29,Tripura,2,2,0
04-29-2020,30,Uttarakhand,54,34,0
04-29-2020,31,Uttar Pradesh,2115,477,36
04-29-2020,32,West Bengal,725,119,22
04-30-2020,1,Andaman and Nicobar Islands,33,15,0
04-30-2020,2,Andhra Pradesh,1403,321,31
04-30-2020,3,Arunachal Pradesh,1,1,0
04-30-2020,4,Assam,42,29,1
04-30-2020,5,Bihar,403,65,2
04-30-2020,6,Chandigarh,56,17,0
04-30-2020,7,Chhattisgarh,38,36,0
04-30-2020,8,Delhi,3439,1092,56
04-30-2020,9,Goa,7,7,0
04-30-2020,10,Gujarat,4082,527,197
04-30-2020,11,Haryana,310,209,3
04-30-2020,12,Himachal Pradesh,40,25,1
04-30-2020,13,Jammu and Kashmir,581,192,8
04-30-2020,14,Jharkhand,107,19,3
04-30-2020,15,Karnataka,557,223,21
04-30-2020,16,Kerala,496,369,4
04-30-2020,17,Ladakh,22,16,0
04-30-2020,18,Madhya Pradesh,2660,461,130
04-30-2020,19,Maharashtra,9915,1593,432
04-30-2020,20,Manipur,2,2,0
04-30-2020,21,Meghalaya,12,0,1
04-30-2020,22,Mizoram,1,0,0
04-30-2020,23,Odisha,128,39,1
04-30-2020,24,Puducherry,8,5,0
04-30-2020,25,Punjab,357,90,19
04-30-2020,26,Rajasthan,2438,768,51
04-30-2020,27,Tamil Nadu,2162,1210,27
04-30-2020,28,Telengana,1012,367,26
04-30-2020,29,Tripura,2,2,0
04-30-2020,30,Uttarakhand,55,36,0
04-30-2020,31,Uttar Pradesh,2203,513,39
04-30-2020,32,West Bengal,758,124,22
05-01-2020,1,Andaman and Nicobar Islands,33,16,0
05-01-2020,2,Andhra Pradesh,1463,403,33
05-01-2020,3,Arunachal Pradesh,1,1,0
05-01-2020,4,Assam,42,29,1
05-01-2020,5,Bihar,426,82,2
05-01-2020,6,Chandigarh,56,17,0
05-01-2020,7,Chhattisgarh,40,36,0
05-01-2020,8,Delhi,3515,1094,59
05-01-2020,9,Goa,7,7,0
05-01-2020,10,Gujarat,4395,613,214
05-01-2020,11,Haryana,313,209,3
05-01-2020,12,Himachal Pradesh,40,28,1
05-01-2020,13,Jammu and Kashmir,614,216,8
05-01-2020,14,Jharkhand,111,20,3
05-01-2020,15,Karnataka,576,235,22
05-01-2020,16,Kerala,497,383,4
05-01-2020,17,Ladakh,22,16,0
05-01-2020,18,Madhya Pradesh,2719,482,137
05-01-2020,19,Maharashtra,10498,1773,459
05-01-2020,20,Manipur,2,2,0
05-01-2020,21,Meghalaya,12,0,1
05-01-2020,22,Mizoram,1,0,0
05-01-2020,23,Odisha,143,41,1
05-01-2020,24,Puducherry,8,5,0
05-01-2020,25,Punjab,357,90,19
05-01-2020,26,Rajasthan,2584,836,58
05-01-2020,27,Tamil Nadu,2323,1258,27
05-01-2020,28,Telengana,1039,441,26
05-01-2020,29,Tripura,2,2,0
05-01-2020,30,Uttarakhand,57,36,0
05-01-2020,31,Uttar Pradesh,2281,555,41
05-01-2020,32,West Bengal,795,139,33
05-02-2020,1,Andaman and Nicobar Islands,33,16,0
05-02-2020,2,Andhra Pradesh,1525,441,33
05-02-2020,3,Arunachal Pradesh,1,1,0
05-02-2020,4,Assam,43,32,1
05-02-2020,5,Bihar,471,98,3
05-02-2020,6,Chandigarh,88,17,0
05-02-2020,7,Chhattisgarh,43,36,0
05-02-2020,8,Delhi,3738,1167,61
05-02-2020,9,Goa,7,7,0
05-02-2020,10,Gujarat,4721,735,236
05-02-2020,11,Haryana,360,227,4
05-02-2020,12,Himachal Pradesh,40,30,1
05-02-2020,13,Jammu and Kashmir,639,247,8
05-02-2020,14,Jharkhand,111,20,3
05-02-2020,15,Karnataka,598,255,25
05-02-2020,16,Kerala,498,392,4
05-02-2020,17,Ladakh,22,17,0
05-02-2020,18,Madhya Pradesh,2719,524,145
05-02-2020,19,Maharashtra,11506,1879,485
05-02-2020,20,Manipur,2,2,0
05-02-2020,21,Meghalaya,12,0,1
05-02-2020,22,Mizoram,1,0,0
05-02-2020,23,Odisha,154,55,1
05-02-2020,24,Puducherry,8,5,0
05-02-2020,25,Punjab,772,112,20
05-02-2020,26,Rajasthan,2666,1116,62
05-02-2020,27,Tamil Nadu,2526,1312,28
05-02-2020,28,Telengana,1057,441,26
05-02-2020,29,Tripura,2,2,0
05-02-2020,30,Uttarakhand,58,37,0
05-02-2020,31,Uttar Pradesh,2455,656,43
05-02-2020,32,West Bengal,795,139,33
05-03-2020,1,Andaman and Nicobar Islands,33,17,0
05-03-2020,2,Andhra Pradesh,1583,488,33
05-03-2020,3,Arunachal Pradesh,1,1,0
05-03-2020,4,Assam,43,32,1
05-03-2020,5,Bihar,482,117,4
05-03-2020,6,Chandigarh,94,19,0
05-03-2020,7,Chhattisgarh,43,36,0
05-03-2020,8,Delhi,4122,1256,64
05-03-2020,9,Goa,7,7,0
05-03-2020,10,Gujarat,5055,896,262
05-03-2020,11,Haryana,394,227,4
05-03-2020,12,Himachal Pradesh,40,33,1
05-03-2020,13,Jammu and Kashmir,666,254,8
05-03-2020,14,Jharkhand,115,22,3
05-03-2020,15,Karnataka,606,282,25
05-03-2020,16,Kerala,500,400,4
05-03-2020,17,Ladakh,40,17,0
05-03-2020,18,Madhya Pradesh,2846,798,156
05-03-2020,19,Maharashtra,12296,2000,521
05-03-2020,20,Manipur,2,2,0
05-03-2020,21,Meghalaya,12,0,1
05-03-2020,22,Mizoram,1,0,0
05-03-2020,23,Odisha,160,56,1
05-03-2020,24,Puducherry,8,5,0
05-03-2020,25,Punjab,772,112,20
05-03-2020,26,Rajasthan,2772,1121,65
05-03-2020,27,Tamil Nadu,2757,1341,29
05-03-2020,28,Telengana,1063,458,28
05-03-2020,29,Tripura,4,2,0
05-03-2020,30,Uttarakhand,59,39,0
05-03-2020,31,Uttar Pradesh,2626,698,43
05-03-2020,32,West Bengal,922,151,33
05-04-2020,1,Andaman and Nicobar Islands,33,32,0
05-04-2020,2,Andhra Pradesh,1650,524,36
05-04-2020,3,Arunachal Pradesh,1,1,0
05-04-2020,4,Assam,43,32,1
05-04-2020,5,Bihar,517,125,4
05-04-2020,6,Chandigarh,94,19,0
05-04-2020,7,Chhattisgarh,57,36,0
05-04-2020,8,Delhi,4549,1362,64
05-04-2020,9,Goa,7,7,0
05-04-2020,10,Gujarat,5428,1042,290
05-04-2020,11,Haryana,442,245,5
05-04-2020,12,Himachal Pradesh,40,34,1
05-04-2020,13,Jammu and Kashmir,701,287,8
05-04-2020,14,Jharkhand,115,22,3
05-04-2020,15,Karnataka,642,304,26
05-04-2020,16,Kerala,500,401,4
05-04-2020,17,Ladakh,41,17,0
05-04-2020,18,Madhya Pradesh,2942,798,165
05-04-2020,19,Maharashtra,12974,2115,548
05-04-2020,20,Manipur,2,2,0
05-04-2020,21,Meghalaya,12,0,1
05-04-2020,22,Mizoram,1,0,0
05-04-2020,23,Odisha,163,60,1
05-04-2020,24,Puducherry,8,5,0
05-04-2020,25,Punjab,1102,117,21
05-04-2020,26,Rajasthan,2886,1356,71
05-04-2020,27,Tamil Nadu,3023,1379,30
05-04-2020,28,Telengana,1082,490,29
05-04-2020,29,Tripura,16,2,0
05-04-2020,30,Uttarakhand,60,39,1
05-04-2020,31,Uttar Pradesh,2742,758,45
05-04-2020,32,West Bengal,963,151,35
05-05-2020,1,Andaman and Nicobar Islands,33,32,0
05-05-2020,2,Andhra Pradesh,1717,589,36
05-05-2020,3,Arunachal Pradesh,1,1,0
05-05-2020,4,Assam,43,32,1
05-05-2020,5,Bihar,529,130,4
05-05-2020,6,Chandigarh,102,21,1
05-05-2020,7,Chhattisgarh,58,36,0
05-05-2020,8,Delhi,4898,1431,64
05-05-2020,9,Goa,7,7,0
05-05-2020,10,Gujarat,5804,1195,319
05-05-2020,11,Haryana,517,254,6
05-05-2020,12,Himachal Pradesh,41,38,1
05-05-2020,13,Jammu and Kashmir,726,303,8
05-05-2020,14,Jharkhand,115,27,3
05-05-2020,15,Karnataka,659,324,28
05-05-2020,16,Kerala,500,462,4
05-05-2020,17,Ladakh,41,17,0
05-05-2020,18,Madhya Pradesh,3049,1000,176
05-05-2020,19,Maharashtra,14541,2465,583
05-05-2020,20,Manipur,2,2,0
05-05-2020,21,Meghalaya,12,10,1
05-05-2020,22,Mizoram,1,0,0
05-05-2020,23,Odisha,170,60,1
05-05-2020,24,Puducherry,9,6,0
05-05-2020,25,Punjab,1233,128,23
05-05-2020,26,Rajasthan,3061,1394,77
05-05-2020,27,Tamil Nadu,3550,1409,31
05-05-2020,28,Telengana,1085,585,29
05-05-2020,29,Tripura,29,2,0
05-05-2020,30,Uttarakhand,60,39,1
05-05-2020,31,Uttar Pradesh,2859,944,53
05-05-2020,32,West Bengal,1259,218,133
05-06-2020,1,Andaman and Nicobar Islands,33,32,0
05-06-2020,2,Andhra Pradesh,1717,589,36
05-06-2020,3,Arunachal Pradesh,1,1,0
05-06-2020,4,Assam,43,32,1
05-06-2020,5,Bihar,536,142,4
05-06-2020,6,Chandigarh,111,21,1
05-06-2020,7,Chhattisgarh,59,36,0
05-06-2020,8,Dadar Nagar Haveli,1,0,0
05-06-2020,9,Delhi,5104,1468,64
05-06-2020,10,Goa,7,7,0
05-06-2020,11,Gujarat,6245,1381,368
05-06-2020,12,Haryana,548,256,6
05-06-2020,13,Himachal Pradesh,42,38,2
05-06-2020,14,Jammu and Kashmir,741,320,8
05-06-2020,15,Jharkhand,125,33,3
05-06-2020,16,Karnataka,671,331,29
05-06-2020,17,Kerala,502,462,4
05-06-2020,18,Ladakh,41,17,0
05-06-2020,19,Madhya Pradesh,3049,1000,176
05-06-2020,20,Maharashtra,15525,2819,617
05-06-2020,21,Manipur,2,2,0
05-06-2020,22,Meghalaya,12,10,1
05-06-2020,23,Mizoram,1,0,0
05-06-2020,24,Odisha,175,60,1
05-06-2020,25,Puducherry,9,6,0
05-06-2020,26,Punjab,1451,133,25
05-06-2020,27,Rajasthan,3158,1525,89
05-06-2020,28,Tamil Nadu,4058,1485,33
05-06-2020,29,Telengana,1096,585,29
05-06-2020,30,Tripura,43,2,0
05-06-2020,31,Uttarakhand,61,39,1
05-06-2020,32,Uttar Pradesh,2880,987,56
05-06-2020,33,West Bengal,1344,364,140
05-07-2020,1,Andaman and Nicobar Islands,33,32,0
05-07-2020,2,Andhra Pradesh,1777,729,36
05-07-2020,3,Arunachal Pradesh,1,1,0
05-07-2020,4,Assam,45,32,1
05-07-2020,5,Bihar,542,188,4
05-07-2020,6,Chandigarh,120,21,1
05-07-2020,7,Chhattisgarh,59,36,0
05-07-2020,8,Dadar Nagar Haveli,1,0,0
05-07-2020,9,Delhi,5532,1542,65
05-07-2020,10,Goa,7,7,0
05-07-2020,11,Gujarat,6625,1500,396
05-07-2020,12,Haryana,594,260,7
05-07-2020,13,Himachal Pradesh,45,38,2
05-07-2020,14,Jammu and Kashmir,775,322,8
05-07-2020,15,Jharkhand,127,37,3
05-07-2020,16,Karnataka,693,354,29
05-07-2020,17,Kerala,503,469,4
05-07-2020,18,Ladakh,41,17,0
05-07-2020,19,Madhya Pradesh,3138,1099,185
05-07-2020,20,Maharashtra,16758,3094,651
05-07-2020,21,Manipur,2,2,0
05-07-2020,22,Meghalaya,12,10,1
05-07-2020,23,Mizoram,1,0,0
05-07-2020,24,Odisha,185,61,2
05-07-2020,25,Puducherry,9,6,0
05-07-2020,26,Punjab,1516,135,27
05-07-2020,27,Rajasthan,3317,1596,92
05-07-2020,28,Tamil Nadu,4829,1516,35
05-07-2020,29,Telengana,1107,628,29
05-07-2020,30,Tripura,43,2,0
05-07-2020,31,Uttarakhand,61,39,1
05-07-2020,32,Uttar Pradesh,2998,1130,60
05-07-2020,33,West Bengal,1456,364,144
